code[tab]nom, synonyme 1, synonyme 2[tab](indication)[tab]autres champs non utilisés

E100-Curcumine, Turmérique	(Turmérique)
E334-Acide L-tartrique, Acide tartrique, Acide d-α, β-dihydroxysuccinique, Acide dextrotartarique ; acide 3-hydroxy malique, CAS 87-69-4	(Acide tartrique (L(+)-)
E335-Tartrate monosodique, Tartrate disodique, tartrate de sodium	(Tartrate disodique)
E336-Tartrates de potassium, Tartrate monopotassique, Tartrate dipotassique, argol, Sels mono- et dipotassique de l'acide L(+)-tartrique	(Tartrates de potassium)
E337-Tartrate double de sodium et de potassium	(Tartrate double de sodium et de potassium)
E338-Acide orthophosphorique, acide phosphorique, Sels de potassium de l'acide phosphorique, sels de potassium de E338, Phosphate d'hydrogène, Acide monophosphorique	(Acide orthophosphorique)
E339-Orthophosphates de sodium, Phosphate monosodique, Phosphate disodique, Phosphate trisodique	(Phosphate trisodique)
E340-Orthophosphates de potassium, Orthophosphate monopotassique, Orthophosphate dipotassique, Orthophosphate tripotassique	(Orthophosphate tripotassique, régulateur de l’acidité, séquestrant, émulsifiant, agent de texture, stabilisant, agent de rétention d’eau/d’humidité)
E341-Phosphate de calcium d’hydrogène, Phosphate de calcium dihydrogène, Phosphates de calcium, Orthophosphates de calcium, Orthophosphate monocalcique, phosphate monocalcique, Orthophosphate dicalcique, Orthophosphate tricalcique, Phosphate tricalcique, Phosphate de calcium monobasique, Phosphate de calcium dibasique, Phosphate de calcium tribasique, Phosphate de calcium (i), Phosphate de calcium (ii), Phosphate de calcium (iii), calcium (phosphate), phosphate de calcium	(Phosphates de calcium, régulateur de l’acidité, agent de traitement des farines, affermissant, agent de texture, agent levant, anti-agglomérant, agent de rétention d’eau/d’humidité, stabilisant, tampon)
E342-Phosphates d'ammonium, Orthophosphate monoammonié, Orthophosphate diammonié	(Orthophosphate diammonié, régulateur de l’acidité, agent de traitement des farines)
E343-Orthophosphates de magnésium, Orthophosphate monomagnésien, Orthophosphate dimagnésien, Orthophosphate trimagnésien	(Orthophosphate trimagnésien, régulateur de l’acidité, anti-agglomérant)
E344-Citrate de lécithine	(Citrate de lécithine, conservateur)
E345-Citrate de magnésium	(Citrate de magnésium, régulateur de l’acidité)
E349-Malate d'ammonium	(Malate d'ammonium)
E350-Malate de sodium, Malate acide de sodium	(Malate acide de sodium)
E351-Malate de potassium, Malate acide de potassium	(Malate de potassium, régulateur de l’acidité)
E352-Malate de calcium, Malate acide de calcium	(Malate acide de calcium)
E353-Acide métatartrique	(Acide métatartrique)
E354-Tartrate de calcium	(Tartrate de calcium)
E355-Acide adipique	(Acide adipique)
E356-Adipate de sodium	(Adipate de sodium)
E357-Adipate de potassium	(Adipate de potassium)
E359-Adipates d'ammonium	(Adipates d'ammonium, régulateur de l’acidité)
E363-Acide succinique	(Acide succinique)
E364-Succinates de sodium, Succinate monosodique, Succinate disodique	(Succinate disodique, régulateur de l’acidité, exaltateur d’arôme)
E365-Fumarate de sodium	(Fumarate de sodium, Régulateurs d'acidité)
E366-Fumarates de potassium	(Fumarates de potassium, régulateur de l’acidité)
E367-Fumarates de calcium	(Fumarates de calcium, régulateur de l’acidité)
E368-Fumarate d’ammonium	(Fumarate d’ammonium, régulateur de l’acidité)
E370-4-Heptonolactone	(1,4-Heptonolactone)
E375-Acide nicotinique, Niacine, Vitamine B3	(Acide nicotinique, Niacine (Vitamine B3))
E380-Citrate de triammonium	(Citrate de triammonium)
E381-Citrate d'ammonium ferrique vert	(Citrate d'ammonium ferrique vert)
E383-Glycerophosphate de calcium	(Glycerophosphate de calcium, épaississant, gélifiant, stabilisant)
E384-Citrates d’isopropyle	(Citrates d’isopropyle, antioxydant, conservateur, séquestrant)
E386-EDTA disodique, Disodium ethylenediamine tetra-acetate, Stabilisateurs synthétiques, Disodium édétate, sel de sodium de E385, sel de sodium d'E385	(EDTA disodique, Stabilisateurs synthétiques)
E385-Éthylène diamine tétra-acétate de calcium disodium, calcium disodium EDTA, CAS 662-33-9,  EDTA calcio-disodique, Ethylène-diamine-tétra-acètate calcio-disodique, CAS 60-00-4, acide éthylene diamine tétra acétique, EDTA de calcium disodique, EDTA  	(EDTA calcio-disodique)
E387-Oxystearin	(Oxystearin, Stabilisateur)
E388-Acide thiodipropanoïque, Antioxydant synthétique	(Acide thiodipropanoïque, Antioxydant synthétique)
E389-Thiodipropionate de dilauryle	(Thiodipropionate de dilauryle, antioxydant)
E390-Thiodipropionate de distéaryle	(Thiodipropionate de distéaryle, antioxydant)
E391-Acide phytique	(Acide phytique, conservateur)
E392-Extrait de romarin	(Extrait de romarin, antioxydant)
E399-Lactobionate de calcium	(Lactobionate de calcium, stabilisant)
E400-Acide alginique	(Acide alginique)
E401-Alginate de sodium, Alginates de sodium, Sel de sodium de l'acide alginique, algine, algiline, polymannuronate sodique, Sel sodique de l'acide alginique, sel d'acide alginique monosodique	(Alginate de sodium)
E402-Alginate de potassium, sel potassique de l'acide alginique	(Alginate de potassium)
E403-Alginate d'ammonium, sel ammoniacal de l'acide alginique	(Alginate d'ammonium)
E404-Alginate de calcium, Sel calcique de l'alginate, sel calcique de l'acide alginique	(Alginate de calcium)
E405-Alginate de propane-1, Alginate d'hydroxypropyle, Alginate de propylène glycol	(Alginate de propane-1,2-diol)
E406-Agar-agar	(Agar-agar)
E407-Carraghénanes, Carraghénane, Mousse d'Irlande, Eucheuman (d'Eucheuma spp.), Iridophycan (d'Iridaea spp.) Hypnean (d'Hypnea spp.), Furcellaran, mousse du Danemark (de Furcellaria fastigiata), Carraghénane (de Chondrus et Gigartina spp.)	(Carraghénanes (algues))
E407a-Algues euchema transformées, Algues euchema traitées, PES, Processed Eucheuma Seaweed	(Algues euchema transformées)
E408-Glycane de levure de boulanger	(Glycane de levure de boulanger)
E409-Arabinogalactane	(Arabinogalactane)
E410-Farine de graines de caroube, farine de graine de caroube, gomme de caroube	(Farine de graines de caroube ou gomme de caroube)
E411-Gomme d'avoine	(Gomme d'avoine)
E412-Gomme de guar, gomme guar, gomme de jaguar, Gomme cyamopsis, Farine de guar, CAS 9000-30-0, Farine Galligum de Guar, Guar Gum, GALLIGUM G, Gyamopsis Tetragonolobus, Guar Flour, Guaran, farine de graines de guar, guar	(Gomme de jaguar ou gomme de guar)
E413-Gomme de dragon, Gomme du dragon, gomme adragante, Tragacanthe, Traganthe, Tragacanth gum, Tragacanth, Shiraz gum, Hog gum, CAS 9000-65-1, Goma tragacanto, Traganth, Tragant, Corne de bouc	(Gomme de dragon gomme adragante, tragacanthe)
E414a-Acide octénylsuccinique, gomme arabique modifiée	(Acide octénylsuccinique (OSA) gomme arabique modifiée)
E414-Gomme d'acacia, gomme arabique 	(Gomme d'acacia ou gomme arabique)
E415-Gomme xanthane, gomme de xanthane, gomme de maïs, gommes xanthane, gommes de xanthane, Xanthane, CAS 11138-66-2, Xanthan gum, goma xantana, xantano, Gummi xanthanum, Xanthomonas gum	(Gomme xanthane ou gomme de maïs)
E416-Gomme karaya, Katilo, Kadaya, Gomme sterculia, Sterculia, Karaya, Kullo, Kuterra	(Gomme karaya)
E417-Gomme tara, caroube du pérou, CAS 39300-88-4, Tara gum	(Gomme tara)
E418-Gomme gellane, Gomme de gellane, gellan gum	(Gomme gellane)
E419-Gomme ghatti	(Gomme ghatti)
E420-Sorbitol, Sirop de sorbitol	(Sirop de sorbitol)
E421-Mannitol	(Mannitol)
E422-Glycérol	(Glycérol)
E424-Curdlan	(Curdlan)
E425-Gomme de konjac, Glucomannane de konjac, extrait de racine de Konjac	(Glucomannane de konjac (extrait de racine de Konjac))
E426-Hémicellulose de soja	(Hémicellulose de soja)
E427-Gomme de casse	(Gomme de casse)
E640-Glycines, Acide aminoacétique, Acide aminoéthanoïque, acide 2-aminoéthanoïque, Glycocolle, Sucre de gélatine, acide aminoacétique, Glycine, Sodiumglycinate, Glycinate de sodium, glycinate sodique, sel de sodium de glycine 	(Glycine et son sel de sodium)
E640(i)-Glycine 
E640(ii)-Sodiumglycinate, Glycinate de sodium, glycinate sodique, sel de sodium de glycine
E441-Gélatine animale, Gélatine d'origine animale, Gélatine de porc, Gélatine porcine, Gélatine alimentaire de porc, Gélatine alimentaire d'origine porcine, Gelatina de porco, Gélatine de boeuf, Gélatine bovine, Gélatine de poisson, Gélatine de volaille, Gélatine de porc, Gélatine F de porc, Gélatine G de porc, Gélatine (bovine), Gélatine de boeuf	(Gélatine (d'origine animale))
E428-Gélatine	(Gélatine, stabilisant, gélifiant, émulsifiant, épaississant, support)
E429-Peptones	(Peptones (Émulsifiant))
E430-Stéarate de polyoxyéthylène	(Stéarate de polyoxyéthylène (8)(Émulsifiant))
E431-Stéarate de polyoxyéthylène	(Stéarate de polyoxyéthylène (40)(Émulsifiant))
E432-Monolaurate de polyoxyéthylène sorbitane, polysorbate 20	(Monolaurate de polyoxyéthylène sorbitane (polysorbate 20)(Émulsifiant))
E433-Monooléate de polyoxyéthylène de sorbitane, polysorbate 80	(Monooléate de polyoxyéthylène de sorbitane (polysorbate 80)(Émulsifiant))
E434-Monopalmitate de polyoxyéthylène sorbitane, polysorbate 40	(Monopalmitate de polyoxyéthylène sorbitane (polysorbate 40)(Émulsifiant))
E435-Monostéarate de polyoxyéthylène sorbitane, polysorbate 60	(Monostéarate de polyoxyéthylène sorbitane (polysorbate 60)(Émulsifiant))
E436-Tristéarate de polyoxyéthylène sorbitane, polysorbate 65	(Tristéarate de polyoxyéthylène sorbitane (polysorbate 65)(Émulsifiant))
E440-Pectines	(Pectines)
E440b-Pectine amidée, CAS 56645-02-4	(Pectine amidée)
E440a-Pectine, CAS 9000-69-5, Pectate de sodium, Sodium pectate, CAS 90999-05-6, Pectate de potassium, Pectate d'ammonium	(Pectine)
E440a(ii)-Pectate de sodium, Sodium pectate, CAS 90999-05-6	(Pectate de sodium)
E440a(iii)-Pectate de potassium	(Pectate de potassium)
E440a(iv)-Pectate d'ammonium	(Pectate d'ammonium)
E442-Phosphatides d'ammonium	(Phosphatides d'ammonium (Émulsifiant))
E443-Huile végétale bromée	(Huile végétale bromée, émulsifiant, stabilisant)
E444-Acétate isobutyrate de saccharose	(Acétate isobutyrate de saccharose)
E445-Esters glycériques de résine de bois, Esters glycéroliques de résine de bois, Gomme ester	(Esters glycériques de résine de bois, Gomme ester)
E446-Succistéarine	(Succistéarine, émulsifiant)
E546-Pyrophosphate de magnésium	(Pyrophosphate de magnésium)
E450-Sels métalliques de diphosphates, Diphosphates, Pyrophosphates, Diphosphate, Pyrophosphate, Diphosphate disodique, Diphosphate trisodique, Diphosphate tétrasodique, Diphosphate dipotassique, Diphosphate tétrapotassique, Diphosphate dicalcique, Dihydrogéno diphosphate de calcium, Diphosphate dimagnésien, Pyrophosphate de sodium, Pyrophosphate tétrasodique, Diphosphate de potassium et de sodium
E450(i)-Pyrophosphate de sodium acide, Pyrophosphate acide de sodium, Diphosphate disodique, Di-sodium di-phosphate, di-sodium pyrophosphate, CAS 7758-16-9, Dihydrogéno-diphosphate disodique, Dihydrogéno-pyrophosphate disodique, Pyrophosphate disodique, Disodium pyrophosphate, sodium acid pyrophosphate, SAPP, Diphosphoric acid disodium salt, Disodium dihydrogen pyrophosphate, Disodium diphosphate, Disodium dihydrogen diphosphate, E450a
E450(ii)-Pyrophosphate de sodium, Pyrophosphate de sodium alimentaire, Diphosphate trisodique, Pyrophosphate trisodique acide, Hydrogéno-diphosphate trisodique, Tri-sodium di-phosphate, CAS 14691-80-6, CAS 26573-04-6	(Pyrophosphate de sodium)
E450(iii)-Diphosphate tétrasodique, Tetra-sodium pyrophosphate, CAS 7722-88-5
E450(iv)-Diphosphate dipotasique, CAS 14691-84-0
E450(v)-Diphosphate tétrapotassique, Tetra-potassium pyrophosphate, CAS 7320-34-5
E450(vi)-Diphosphate dicalcique, Di-hydrogen di-phosphate de calcium, CAS 7790-76-3
E450(vii)-Diphosphate biacide de calcium, CAS 14866-19-4
E450(viii)-Diphosphate dimagnésien, CAS 13446-24-7
E451(i)-triphosphate de sodium, triphosphate, STP, STPP, sodium tripolyphosphate, TPP, Triphosphate pentasodique	(Triphosphate de sodium)
E451(ii)-Triphosphate pentapotassique	(Triphosphate pentapotassique)
E451-Triphosphates, E450b, Tripolyphosphates	(Triphosphates)
E452-Polyphosphates, Polyphosphates de calcium, Polyphosphates de sodium-calcium, Polyphosphates de sodium, Polyphosphates de potassium, Polyphosphates sodiques, Polyphosphates potassiques, Polyphosphates calco-sodiques, Polyphosphates calciques, Polyphosphate d'ammonium, Tripoliphosphates de sodium et de potassium, E450c	(Polyphosphates, émulsifiant, stabilisant, régulateur de l’acidité, agent levant, séquestrant, agent de rétention d’eau/d’humidité)
E452(i)-Polyphosphate de sodium, Sel de Maddrell, Sel de Graham, Polyphosphates de sodium vitreux, Polyphosphates de sodium, Polyphosphate sodique, Polyphosphate de sodium insoluble, Polymétaphosphate de sodium, Métaphosphate de sodium insoluble, Métaphosphate de sodium, IMP, Héxamétaphosphate de sodium, Tétrapolyphosphate de sodium, Polyphosphate de sodium	(Polyphosphate de sodium)
E452(ii)-Polyphosphates de potassium, Polyphosphate de potassium, Polyphosphate potassique, Metaphosphate de potassium, Sel de Kurrol, Polymétaphosphate de potassium (Polyphosphates de potassium)
E452(iii)-Polyphosphate de sodium-calcium, Polyphosphate calco-sodique	(Polyphosphate de sodium-calcium)
E452(iv)-Polyphosphate de calcium, Polyphosphate de calcium, Polyphosphate calcique, Polymétaphosphate de calcium, Métaphosphate de calcium	(Polyphosphate de calcium)
E452(v)-Polyphosphate d'ammonium	(Polyphosphate d'ammonium)
E452(vi)-Tripolyphosphate de sodium et de potassium	(Tripolyphosphate de sodium et de potassium)
E457-Cyclodextrine	(Cyclodextrine, alpha-, stabilisant, liant)
E458-Cyclodextrine	(Cyclodextrine, gamma-, stabilisant, liant)
E459-Béta-cyclodextrine	(Béta-cyclodextrine)
E461-Méthylcellulose	(Méthylcellulose)
E462-Éthylcellulose	(Éthylcellulose)
E463-Hydroxypropylcellulose	(Hydroxypropylcellulose)
E464-Hydroxypropylméthylcellulose, Hypromellose, Hydroxypropyl methyl cellulose, Hydroxypropyl methylcellulose, HPMC, Cellulose hydroxypropyl methyl ether, Methylhydroxypropylcellulosum	(Hydroxypropylméthylcellulose)
E465-Éthylméthylcellulose	(Éthylméthylcellulose)
E466-Carboxyméthylcellulose, Gomme cellulosique, CMC sodique, CMC, Carboxyméthylcellulose sodique, Carboxyméthylcellulose de sodium, Carboxyméthyl-cellulose sodique, Gomme de cellulose, Gommes de cellulose, épaississant 466	(Carboxyméthylcellulose, Gomme de cellulose)
E467-Ethyl-hydroxyéthyl-cellulose	(Ethyl-hydroxyéthyl-cellulose, épaississant, stabilisant, émulsifiant)
E468-Carboxyméthylcellulose de sodium réticulée	(Carboxyméthylcellulose de sodium réticulée (non autorisée en agroalimentaire))
E469-Carboxyméthylcellulose hydrolysée de manière enzymatique	(Carboxyméthylcellulose hydrolysée de manière enzymatique)
E460-Celluloses, Cellulose microcristalline, Cellulose en poudre, Gel de cellulose, Cellulose	(Celluloses)
E470-Sels de sodium/potassium/calcium d'acides gras, Sels de sodium d'acides gras, Sels de potassium d'acides gras, Sels de calcium d'acides gras, Sels d’acides myristique, Sels d’acide oléique avec potassium, Sels d’acide oléique avec sodium, Sels d’acide oléique avec calcium	(Sels d’acide oléique avec calcium, potassium et sodium, émulsifiant, stabilisant, anti-agglomérant)
E470a-Stéarate de sodium/potassium/calcium, Stéarate de sodium, Stéarate de potassium, Stéarate de calcium	(Stéarate de sodium/potassium/calcium)
E470b-Stéarate de magnésium, sel de magnésium d'acides gras, E470ii	(Stéarate de magnésium)
E471-Mono- et diglycérides d'acides gras alimentaires, Mono- et diglycérides d'acides gras, Monoglycérides et diglycérides d'acides gras, Mono et diglycérides d'acides gras, Monostéarate de glycérine, GMS, Monopalmitate de glycérine, Monooléate de glycérine, Monostéarine, monopalmitine, monooléine, Mono and diglycerides of fatty acids, glyceryl monostearate, glyceryl distearate 	(Mono- et diglycérides d'acides gras alimentaires, )
E472-Esters d'acides gras alimentaires	(Esters d'acide gras, Esters d'acides gras alimentaires)
E472a-Ester diacétyl-acétique d'acides gras, Esters acétiques des mono- et diglycérides, Acétoglycerides, Esters glycéroliques de l'acide acétique et d'acides gras	(Ester diacétyl-acétique d'acides gras)
E472b-Ester diacétyl-lactique de mono- et diglycérides d'acides gras	(Ester diacétyl-lactique de mono- et diglycérides d'acides gras)
E472c-Ester citrique des mono et diglycérides d'acides gras alimentaires, Ester diacétyl-citrique de mono- et diglycérides d'acides gras, esters citriques des mono- et diglycérides d'acides gras, Esters glycéroliques de l'acide citrique et d'acides gras, Citroglycérides	(Ester diacétyl-citrique de mono- et diglycérides d'acides gras)
E472d-Ester tartrique de mono- et diglycérides d'acides gras, Esters tartriques de mono- et di-glycérides d'acides gras, Esters tartriques des mono- et diglycérides	(Ester tartrique de mono- et diglycérides d'acides gras)
E472e-Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras	(Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras)
E472f-Esters mixtes acétiques et tartriques des mono- et diglycérides d'acides gras	(Esters mixtes acétiques et tartriques des mono- et diglycérides d'acides gras)
E472g-Monoglycérides succinyles	(Monoglycérides succinyles, émulsifiant, stabilisant, séquestrant)
E473-Sucroester, Sucroesters d'acide gras	(Sucroester)
E473a-Oligoesters de saccharose de type I, Oligoesters de saccharose de type II, Esters de saccharose d'acides gras, Oligoesters de saccharose, Esters de saccharose d'acides gras, Oligoesters de saccharose	(Oligoesters de saccharose de type I et de type II, émulsifiant, stabilisant)
E474-Sucroglycérides	(Sucroglycérides)
E476-Esters polyglycériques d'acides gras d'huile de ricin, Polyricinoléate de polyglycérol, Esters polyglycériques de l'acide ricinoléique interesterifié, PGPR, Esters polyglycéroliques de l'acide ricinoléique interesterifié, Esters polyglycériques d'acides gras polycondensés d'huile de ricin, Esters glycériques d'acides gras condensés d'huile de ricin	(Esters polyglycériques d'acides gras d'huile de ricin, Polyricinoléate de polyglycérol)
E475-Esters polyglycériques d'acides gras	(Esters polyglycériques d'acides gras)
E477-Esters du propylène-glycol d'acide gras	(Esters du propylène-glycol d'acide gras)
E478-Esters lactyles d'acides gras du glycérol et du propane-1	(Esters lactyles d'acides gras du glycérol et du propane-1,2 diol)
E479b-Huile de soja oxydée par chauffage ayant réagi avec des mono- et diglycérides d’acides gras	(Huile de soja oxydée par chauffage ayant réagi avec des mono- et diglycérides d’acides gras, émulsifiant)
E481-Stéaroyl-2-lactylate de sodium, Stéaryl de sodium lactylé, Oléyl de sodium lactylé	(Oléyl de sodium lactylé, émulsifiant, stabilisant)
E482-Stéaroyl-2-lactylate de calcium, Stéaryl de calcium lactylé, Oléyl de calcium lactylé	(Oléyl de calcium lactylé, émulsifiant, stabilisant)
E483-Tartrate de stéaryle	(Tartrate de stéaryle)
E484-Citrate de stéaryle	(Citrate de stéaryle)
E485-	(Renommé comme 441)
E486-Stearoylfumarate de calcium	(Stearoylfumarate de calcium, émulsifiant)
E487-Laurylsulfate de sodium	(Laurylsulfate de sodium, émulsifiant)
E488-Mono- et diglycérides éthoxyles	(Mono- et diglycérides éthoxyles, émulsifiant)
E489-Ester de méthylglycoside d'huile de coco	(Ester de méthylglycoside d'huile de coco, émulsifiant)
E490-Glycole de propylène	(Glycole de propylène, Solvant)
E491-Monostéarate de sorbitane	(Monostéarate de sorbitane)
E492-Tristéarate de sorbitane	(Tristéarate de sorbitane)
E493-Monolaurate de sorbitane	(Monolaurate de sorbitane)
E494-Monoléate de sorbitane	(Monoléate de sorbitane)
E495-Monopalmitate de sorbitane, Palmitate de sorbitane, mélange d'esters de sorbitol; de sorbitan et d'isosorbide, Span 40	(Monopalmitate de sorbitane)
E496-Trioléate de sorbitane	(Trioléate de sorbitane, stabilisant, émulsifiant)
E500-Carbonates de sodium, Carbonate de sodium, Carbonate acide de sodium, bicarbonate de sodium, bicarbonate de sodium alimentaire, bicarbonate de soude, Sesquicarbonate de sodium	(Sesquicarbonate de sodium, régulateur de l’acidité, agent levant, anti-agglomérant)
E501-Carbonates de potassium, Carbonate de potassium, Carbonate acide de potassium, bicarbonate de potassium	(Carbonate acide de potassium (bicarbonate de potassium))
E502-Carbonates	(Carbonates)
E503-Carbonates d'ammonium, Carbonate d'ammonium, Carbonate acide d'ammonium, bicarbonate d'ammonium	(Carbonate acide d'ammonium (bicarbonate d'ammonium))
E504-Carbonates de magnésium, Carbonate de magnésium, Magnésium (carbonate), Carbonate acide de magnésium, bicarbonate de magnésium, Hydromagnésite, Carbonate de magnésium hydraté basique, carbonate de magnésium monohydraté	(Carbonate acide de magnésium (bicarbonate de magnésium))
E505-Carbonate de fer	(Carbonate de fer)
E507-Acide chlorhydrique	(Acide chlorhydrique)
E508-Chlorure de potassium	(Chlorure de potassium)
E509-Chlorure de calcium	(Chlorure de calcium)
E510-Chlorure d'ammonium	(Chlorure d'ammonium)
E511-Chlorure de magnésium, Nigari	(Chlorure de magnésium)
E512-Chlorure stanneux, chlorure d'étain, chlorure d'étain(II), sel d'étain ou dichlorure d'étain, Dichlorure d'étain, Tin (II) dichloride, CI 77864, sel d'étain, dichlorure d'étain	(Chlorure stanneux)
E513-Acide sulfurique	(Acide sulfurique)
E514-Sulfates de sodium, Hydrogénosulfates de sodium, Sulfate de sodium, Hydrogénosulfate de sodium, Sulfate acide de sodium, bisulfate de sodium	(Hydrogénosulfate de sodium)
E514(i)-Sulfate de sodium, E514(i), E514i	(Sulfate de sodium)
E514(ii)-Sulfate acide de sodium, bisulfate de sodium, E514(ii), E514ii	(Sulfate acide de sodium)
E515-Sulfate de potassium	(Sulfate de potassium)
E516-Sulfate de calcium, gypse, Plâtre de Paris	(Sulfate de calcium, gypse, Plâtre de Paris)
E517-Sulfate d'ammonium	(Sulfate d'ammonium, Stabilisateur)
E518-Sulfate de magnésium	(Sulfate de magnésium)
E519-Sulfate de cuivre	(Sulfate de cuivre)
E520-Sulfate d'aluminium	(Sulfate d'aluminium)
E521-Sulfate d'aluminium sodique	(Sulfate d'aluminium sodique)
E522-Sulfate d'aluminium potassique	(Sulfate d'aluminium potassique)
E523-Sulfate d'aluminium ammonique	(Sulfate d'aluminium ammonique)
E524-Hydroxyde de sodium	(Hydroxyde de sodium)
E525-Hydroxyde de potassium	(Hydroxyde de potassium)
E526-Hydroxyde de calcium, Chaux éteinte, chaux hydratée	(Hydroxyde de calcium)
E527-Hydroxyde d'ammonium	(Hydroxyde d'ammonium)
E528-Hydroxyde de magnésium	(Hydroxyde de magnésium)
E529-Oxyde de calcium, chaux vive	(Oxyde de calcium, chaux vive)
E530-Oxyde de magnésium Périclase	(Oxyde de magnésium Périclase)
E535-Ferrocyanure de sodium, ferronitrile de sodium, Prussiate jaune de sodium	(Ferrocyanure de sodium (Prussiate jaune de sodium))
E536-Ferrocyanure de potassium, ferronitrile de potassium	(Ferrocyanure de potassium)
E537-Hexacyanomanganate de fer	(Hexacyanomanganate de fer)
E538-Ferrocyanure de calcium	(Ferrocyanure de calcium)
E539-Thiosulfate de sodium	(Thiosulfate de sodium, Anti-oxydant)
E540-Phosphate acide de calcium	(Phosphate acide de calcium)
E541(i)-Phosphate de sodium-aluminium acide, acidic SALP, Levair
E541(ii)-Phosphate de sodium-aluminium basique, basic SALP, Kasal
E541-Phosphate d'aluminium et de sodium, Phosphate de sodium-aluminium	(Phosphate de sodium-aluminium (basique), régulateur de l’acidité, émulsifiant)
E542-Phosphate d'os comestible, Phosphate d'os, Bone phosphate	(Phosphate d'os comestible)
E543-Polyphosphate de sodium de calcium	(Polyphosphate de sodium de calcium, Emulsifiant)
E544-Polyphosphate de calcium	(Polyphosphate de calcium)
E545-Polyphosphate d'ammonium	(Polyphosphate d'ammonium)
E550-Silicate de sodium, Métasilicate de sodium	(Métasilicate de sodium, anti-agglomérant)
E551-Dioxyde de silicium, silice, Gel bleu de silice, Gel 60 de silice, Dioxyde de silicium, Silicon dioxide, terre diatomée, terre de diatomée, Silica, CI 7811, Cab-o-sil, Diatomaceous earth calcined, Diatomaceous silica, Dioxosilane, Pigment White 27, Silanox 101, Siliceous earth, Silicon dioxide, Solum diatomeae, White carbon, CAS 7631-86-9	(Dioxyde de silicium (amorphe), Silice (amorphe))
E552-Silicate de calcium	(Silicate de calcium)
E553-Silicate de magnésium, Trisilicate de magnésium, Talc	(Talc, anti-agglomérant, poudre pour pulvérisation sèche, agent d’enrobage, agent de finition superficielle, agent de texture)
E553a-Silicate de magnésium, Trisilicate de magnésium	(Trisilicate de magnésium)
E553b-Talc	(Talc)
E554-Silicate alumino-sodique	(Silicate alumino-sodique)
E555-Silicate alumino-potassique	(Silicate alumino-potassique)
E556-Silicate alumino-calcique, Silicate double d'aluminium et de calcium, Silicate d'aluminium et calcium, Calcium Aluminum Silicate, Aluminosilicate de calcium, Silicoaluminate de calcium, Silicate d'aluminium et de calcium, Silicate double de calcium et d'aluminium	(Silicate alumino-calcique)
E557-Silicate de zinc	(Silicate de zinc)
E558-Bentonite	(Bentonite)
E559-Silicate d'aluminium, Kaolin, Kaolinite, Argilie kaolinitique, Argile de porcelaine, Argile de Chine, Bentone, CI 7704, CAS 1332-58-7	(Silicate d'aluminium (Kaolin))
E560-Silicate de potassium	(Silicate de potassium, anti-agglomérant)
E571-Stearate d'ammonium	(Stearate d'ammonium, Agent anti-coagulant)
E572-Stéarate de magnésium	(Stéarate de magnésium)
E573-Stéarate d'aluminium	(Stéarate d'aluminium)
E574-Acide gluconique	(Acide gluconique)
E575-Glucono-delta-lactone	(Glucono-delta-lactone)
E576-Gluconate de sodium	(Gluconate de sodium)
E577-Gluconate de potassium	(Gluconate de potassium)
E578-Gluconate de calcium	(Gluconate de calcium)
E579-Gluconate ferreux, Di-D-gluconate ferreux dihydraté, gluconate de fer II, gluconate de fer (II), gluconate de fer(II), gluconate de fer 	(Gluconate ferreux)
Exxx-Gluconate de cuivre	(Gluconate de cuivre)
E580-Gluconate de magnésium	(Gluconate de magnésium, régulateur de l’acidité, affermissant, exaltateur d’arôme)
E585-Lactate ferreux	(Lactate ferreux)
E586-Héxylresorcinol, agent de rétention de la couleur	(Héxylresorcinol, 4-, agent de rétention de la couleur, antioxydant)
E620-Acide glutamique	(Acide glutamique)
E621-Glutamate monosodique, glutamate de sodium, monosodium glutamate, monoglutamate de sodium, glutamate de monosodium, sodium monoglutamate, GMS, MSG	(Glutamate monosodique)
E622-Glutamate monopotassique	(Glutamate monopotassique)
E623-Diglutamate de calcium	(Diglutamate de calcium)
E624-Glutamate d'ammonium	(Glutamate d'ammonium)
E625-Diglutamate de magnésium	(Diglutamate de magnésium)
E626-Acide guanylique, Guanosine monophosphate	(Acide guanylique (Guanosine monophosphate))
E627-Guanylate disodique, guanylate de sodium, Guanylate 5'-disodique	(Guanylate disodique)
E628-Guanylate dipotassique	(Guanylate dipotassique)
E629-Guanylate de calcium	(Guanylate de calcium)
E630-Acide inosinique	(Acide inosinique)
E631-Inosinate disodique, inosinate de sodium, inosinate 5'-disodique	(Inosinate disodique)
E632-Inosinate dipotassique	(Inosinate dipotassique)
E633-Inosinate de calcium	(Inosinate de calcium)
E634-5'-ribonucléotide calcique	(5'-ribonucléotide calcique)
E635-5'-ribonucléotide disodique	(5'-ribonucléotide disodique)
E636-Maltol	(Maltol)
E637-Éthyl-maltol	(Éthyl-maltol)
E638-Aspartame de sodium	(Aspartame de sodium, L-, exaltateur d’arôme)
E639-Alanine	(Alanine, DL-, exaltateur d’arôme)
E641-Leucine, L-leucine	(L-leucine)
E642-Hydrochlorure de lysine	(Hydrochlorure de lysine, exaltateur d’arôme)
E650-Acétate de zinc	(Acétate de zinc, exaltateur d’arôme)
E710-Spiramycines Antibiotique	(Spiramycines Antibiotique)
